,Energy Supply,Energy Supply per Capita,% Renewable,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Puerto Rico,56000000.0,15.0,1.080808,108982992694.78,105358543360.196,103463345089.92801,101020458064.233,98381268000.0,96521406497.4362,93845351393.9169,93303542111.6084,,
Qatar,1396000000.0,664.0,0.0,67314817516.5064,79421829549.7029,93450549194.1847,104624021247.41699,125122306346.154,141857635553.776,148779678879.926,155596278134.853,162106073254.836,167913966575.413
South Korea,11007000000.0,221.0,2.279353,941019882149.125,992431619676.197,1020509638539.71,1027729932849.17,1094499338702.72,1134795571930.64,1160809426196.79,1194429021591.57,1234340240503.49,1266580410309.11
Romania,1339000000.0,68.0,34.3845,157224128902.68698,168015611656.501,182228025398.3,169350284147.325,167998080493.40802,169772634910.766,170860819248.496,176894945407.192,182129349994.602,188934947507.48602
Russian Federation,30709000000.0,214.0,17.28868,1385792607182.58,1504071117741.3,1583004071092.11,1459199142720.26,1524917468442.01,1589942641764.29,1645875899596.27,1666934123163.16,1678708855070.86,1616148858033.77
Rwanda,95000000.0,9.0,35.83535,4177231366.8911295,4495237886.405789,4997017017.70029,5310229469.081571,5698548987.88591,6145995347.00202,6686127023.36361,6999339474.74489,7489932447.061491,8007052596.38282
Samoa,4000000.0,22.0,31.35593,639388125.795134,679814346.46665,686674262.333586,653657094.674312,656789149.595525,694742001.544426,697535584.278565,684046231.307783,692228432.085514,703544816.540352
Sao Tome and Principe,3000000.0,14.0,10.44776,160774423.93868998,166005388.496016,179594874.824499,186807083.313057,195176113.354139,204600360.061225,213989767.348994,222947538.253308,232932364.447896,
Saudi Arabia,7985000000.0,264.0,0.000352,429701866666.66705,455450933333.33295,493832533333.33295,502865600000.0,526811466666.66705,579276266666.667,610467200000.0,626766133333.334,649572533333.334,672214400000.0
Senegal,154000000.0,11.0,1.998237,11139348462.2287,11689463524.3961,12119930871.2423,12413618117.2848,12932428287.6047,13160183616.2284,13740703041.3116,14219596407.1345,14832610463.4065,15794534138.9893
Serbia,618000000.0,69.0,27.21619,36293152225.2341,38430368884.6748,40492805121.3899,39231060776.6224,39460357730.5224,40013381123.366,39607137113.7376,40625727367.812996,39881747972.7617,40171319329.1041
